Date,BXMSM,SPTR,SPX,PUTSM,CLL*,BXYSM,VIX¬ ,VXO,BXMD ,BFLY ,CLLZ ,CMBO ,CNDR ,PPUT 
2-May,574.38,1603.8,1139.55,627.9,409.15,643.38,23.61,25.66,792.16,457.87,463.08,686.78,471.59,373.77
2-Jun,570.64,1583.52,1123.82,624.13,408.81,636.61,23.39,25.4,784.52,459.98,457.98,681.68,472.59,370.94
2-Jul,564.99,1557.82,1104.27,618.13,409.44,627.74,23.92,26.02,774.02,461.49,451.24,674.22,471.48,367.86
2-Aug,554.82,1524.4,1079.31,606.97,408.92,614.34,24.79,26.97,758.56,460.29,442.5,661.55,466.96,365.04
2-Sep,547.21,1500.54,1061.18,597.11,409.8,604.37,25.43,27.63,747.92,459.62,436.79,651.86,462.73,364.31
2-Oct,541.72,1475.57,1042.37,591.68,407.93,596.33,26.08,28.41,738.34,459.36,431.37,644.59,461.93,359.96
2-Nov,538.5,1456.8,1027.87,587.87,406.7,591.31,25.88,28.47,732.43,459.66,427.53,640.29,461.29,356.91
2-Dec,536,1434.72,1010.94,584.18,404.75,586.55,26.18,28.88,726.58,461.45,422.92,636.53,460.94,353.1
3-Jan,532.39,1404.9,988.59,579.78,400.74,580.03,26.58,29.61,717.9,463.82,416.7,631.54,460.98,347.41
3-Feb,528.13,1374.3,965.71,574.45,396.68,573.23,27.42,30.69,708.72,465.83,410.55,625.67,460.5,341.92
3-Mar,523.56,1344.73,943.58,568.66,392.65,566.54,28.09,31.61,699.84,465.64,405.15,619.98,460.23,336.42
3-Apr,517.86,1311.23,918.65,562.26,387.7,558.59,29.07,32.78,689.91,465.01,398.68,613.08,459.97,330.14
3-May,517.23,1294.32,905.31,560.55,385.66,557.1,29.01,32.8,687.92,467.18,395.98,612.56,460.43,327.24
3-Jun,516.91,1284.15,896.68,558.97,385.55,557.23,28.97,32.71,688.01,466.63,394.81,613.03,459.6,326.02
3-Jul,519.05,1284.44,895.41,560.6,386.24,560.43,28.48,32.08,692.14,465.93,395.68,616.68,460.7,326.24
3-Aug,526.07,1295.94,901.97,568.13,388.63,568.97,27.44,30.92,702.75,468.29,399.23,626.16,465.47,326.91
3-Sep,533.85,1309.06,909.63,576.55,391.66,578.16,26.27,29.56,713.56,472.9,402.59,636.21,469.96,327.89
3-Oct,543.76,1332.7,924.69,587.01,395.81,590.12,24.85,27.83,728.43,477.37,408.33,648.93,473.95,331.15
3-Nov,553.05,1354.64,938.43,597.58,399.37,601.58,23.6,26.26,742.12,483.09,413.2,660.97,478.4,333.99
